health_region_id,health_region_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
35081,Três Colinas,427758,58580,59045,66488,68349,58235,51806,36627,19383,9245
35082,Alta Anhanguera,164615,22248,22692,25553,28066,22746,19310,13358,7139,3503
35083,Alta Mogiana,125803,17137,17150,18807,20566,17169,14908,10870,6131,3065
35091,Adamantina,138431,14310,15766,20025,24587,19614,17945,13409,8102,4673
35092,Assis,247470,31016,30744,36018,39581,35078,32095,23165,12905,6868
35093,Marília,390523,47467,47925,56347,62352,56055,49855,37772,21128,11622
35094,Ourinhos,244242,33058,31653,35749,37593,33490,30485,22529,12984,6701
35095,Tupã,128466,15218,15183,17238,19775,18034,17256,13102,7970,4690
35101,Araras,346589,45066,44838,53289,58613,47678,42144,30179,16331,8451
35102,Limeira,375650,48229,49518,57110,63761,53359,46091,33004,16382,8196
35103,Piracicaba,596232,76820,78244,90116,100810,84329,71115,52012,28124,14662
35104,Rio Claro,268075,34004,35223,41222,46162,38331,31663,22361,12222,6887
35111,Alta Paulista,135956,15021,15381,19565,22927,19746,17715,13220,7862,4519
35112,Alta Sorocabana,413476,49994,50764,59651,64421,59192,55632,39139,22564,12119
35113,Alto Capivari,59639,7946,7653,8859,9265,8392,7862,5147,2915,1600
35114,Extremo Oeste Paulista,99135,11827,11981,14254,16053,14546,13309,9253,5161,2751
35115,Pontal do Paranapanema,67421,9300,8810,10136,9990,9501,8731,5962,3408,1583
35121,Vale do Ribeira,284509,44514,37797,42266,39998,39005,34000,24966,14681,7282
35131,Horizonte Verde,447537,61863,62724,71525,78787,61627,49961,34379,17586,9085
35132,Aquífero Guarani,934756,116652,121917,143584,164341,130932,109348,80958,43739,23285
35133,Vale das Cachoeiras,141389,18092,18205,21692,22758,18925,17196,13125,7330,4066
35141,Baixa Mogiana,331154,39651,40212,49722,55414,47576,42740,31368,16413,8058
35142,Mantiqueira,286393,36076,36550,41932,46170,39921,36406,26826,14455,8057
