country_iso,country_name,state_id,state_name,city_id,city_name,population,male,female,male-0-19,male-20-29,male-30-39,male-40-49,male-50-59,male-60-69,male-70-79,male-80>,female-0-19,female-20-29,female-30-39,female-40-49,female-50-59,female-60-69,female-70-79,female-80>
BR,Brasil,AM,Amazonas,1300409,Barcelos,27502,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300508,Barreirinha,32041,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300607,Benjamin Constant,42984,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300631,Beruri,19679,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300680,Boa Vista do Ramos,19207,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300706,Boca do Acre,34308,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300805,Borba,41161,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300839,Caapiranga,13081,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1300904,Canutama,15629,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301001,Carauari,28294,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301100,Careiro,37869,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301159,Careiro da Várzea,30225,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301209,Coari,85097,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301308,Codajás,28637,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301407,Eirunepé,35273,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301506,Envira,20033,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301605,Fonte Boa,17609,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301654,Guajará,16678,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301704,Humaitá,55080,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301803,Ipixuna,29689,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301852,Iranduba,48296,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301902,Itacoatiara,101337,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1301951,Itamarati,7851,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302009,Itapiranga,9148,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302108,Japurá,2755,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302207,Juruá,14712,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302306,Jutaí,14317,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302405,Lábrea,46069,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302504,Manacapuru,97377,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302553,Manaquiri,32105,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302603,Manaus,2182763,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302702,Manicoré,55751,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302801,Maraã,18224,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1302900,Maués,63905,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303007,Nhamundá,21173,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303106,Nova Olinda do Norte,37378,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303205,Novo Airão,19454,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303304,Novo Aripuanã,25644,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303403,Parintins,114273,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303502,Pauini,19426,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303536,Presidente Figueiredo,36279,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303569,Rio Preto da Eva,33347,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303601,Santa Isabel do Rio Negro,25156,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303700,Santo Antônio do Içá,21602,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303809,São Gabriel da Cachoeira,45564,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303908,São Paulo de Olivença,39299,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1303957,São Sebastião do Uatumã,14020,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304005,Silves,9171,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304062,Tabatinga,65844,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304104,Tapauá,17156,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304203,Tefé,59849,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304237,Tonantins,18755,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304260,Uarini,13540,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304302,Urucará,16256,,,,,,,,,,,,,,,,,,
BR,Brasil,AM,Amazonas,1304401,Urucurituba,23065,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600055,Serra do Navio,5397,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600105,Amapá,9109,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600154,Pedra Branca do Amapari,16502,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600204,Calçoene,11117,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600212,Cutias,5983,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600238,Ferreira Gomes,7780,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600253,Itaubal,5503,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600279,Laranjal do Jari,50410,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600303,Macapá,503327,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600402,Mazagão,21632,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600501,Oiapoque,27270,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600535,Porto Grande,21971,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600550,Pracuúba,5120,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600600,Santana,121364,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600709,Tartarugalzinho,17315,,,,,,,,,,,,,,,,,,
BR,Brasil,AP,Amapá,1600808,Vitória do Jari,15931,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900108,Abaíra,8739,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900207,Abaré,20086,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900306,Acajutiba,15159,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900355,Adustina,17040,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900405,Água Fria,16970,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900504,Érico Cardoso,10610,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900603,Aiquara,4446,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900702,Alagoinhas,151596,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900801,Alcobaça,22470,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2900900,Almadina,5464,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2901007,Amargosa,37241,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2901106,Amélia Rodrigues,25102,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2901155,América Dourada,16094,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2901205,Anagé,22005,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2901304,Andaraí,13143,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2901353,Andorinha,14595,,,,,,,,,,,,,,,,,,
BR,Brasil,BA,Bahia,2901403,Angical,13977,,,,,,,,,,,,,,,,,,
